玩家ID  复仇次数
1002949 1       
1001529 2       
1000150 1       
1000456 4       
1002663 1       
1000866 126       
1000571 1       
1001376 8       
1003143 4       
1002769 1       
1000023 1       
1000083 91       
1000451 9       
1000543 1       
1001600 25       
1000008 30       
1000345 1       
1001863 1       
1002018 1       
1001634 49       
1000141 3       
1002002 2       
1002493 1       
1003206 1       
1000554 5       
1001889 6       
1001816 2       
1002621 1       
1002248 1       
1001588 1       
1002697 17       
1001487 16       
1001388 1       
1001370 1       
1000724 1       
1002858 1       
1003172 1       
1001272 1       
1000075 38       
1001039 9       
1000837 1       
1000858 7       
1001160 7       
1002562 19       
1001451 1       
1001726 1       
1001583 1       
1001627 6       
1001546 1       
1001150 14       
1000308 2       
1001491 17       
1000256 1       
1002969 13       
1002965 2       
1002052 1       
1002528 133       
1002687 1       
1001602 7       
1001408 5       
1002149 2       
1000431 3       
1003203 1       
1001366 1       
1000593 1       
1001201 1       
1000171 3       
1000011 8       
1000572 3       
1000046 35       
1000767 3       
1002438 1       
1001543 1       
1002909 1       
1001015 4       
1001021 1       
1001533 106       
1001260 9       
1001133 1       
1002005 6       
1002083 1       
1000556 1       
1001206 2       
1001156 2       
1002201 19       
1001861 54       
1000333 2       
1000578 5       
1002404 1       
1002785 1       
1001123 4       
1001615 83       
1000868 12       
1000639 4       
1000307 3       
1000486 1       
1001838 1       
1001680 1       
1002870 1       
1001316 12       
1002480 2       
1001865 8       
1000140 1       
1002800 2       
1000825 1       
1001328 6       
1001733 1       
1000416 2       
1001900 1       
1002075 1       
1002793 3       
1001036 1       
1001511 2       
1002597 18       
1000662 1       
1002994 1       
1002818 2       
1001655 1       
1001027 1       
1000043 13       
1002419 15       
1003155 2       
1000699 1       
1000980 1       
1001025 2       
1001077 6       
1002964 8       
1001919 1       
1002325 1       
1001990 3       
1002662 4       
1002198 2       
1000585 1       
1001509 17       
1002213 1       
1001796 1       
1000318 1       
1000983 5       
1001390 7       
1000583 1       
1000079 2       
1000325 4       
1002331 2       
1003147 4       
1003039 1       
1000957 3       
1001315 1       
1002999 1       
1000284 6       
1002863 1       
1000316 31       
1000733 1       
1000632 1       
1002569 1       
1000680 6       
1001700 2       
1001286 122       
1000001 41       
1002849 10       
1001357 33       
1000297 1       
1000759 14       
1000199 1       
1000768 6       
